Feature name,p-value (Spearman correlation),Corrected p-value (Bonferroni)
CD4Tem_153Eu_STAT1_unstim,0.21340648202510057,1.0
Bcells_153Eu_STAT1_unstim,0.21340648202510057,1.0
cMCs_153Eu_STAT1_unstim,0.21340648202510057,1.0
CD4Tem_151Eu_p38_unstim,0.21340648202510057,1.0
CD4Teff_153Eu_STAT1_unstim,0.21340648202510057,1.0
CD8Tnaive_153Eu_STAT1_unstim,0.21340648202510057,1.0
mDCs_168Er_STAT6_unstim,0.21340648202510057,1.0
CD56loCD16posNK_151Eu_p38_unstim,0.21340648202510057,1.0
CD56loCD16posNK_153Eu_STAT1_unstim,0.21340648202510057,1.0
NKT_153Eu_STAT1_unstim,0.21340648202510057,1.0
NKT_151Eu_p38_unstim,0.21340648202510057,1.0
CD8Tcm_151Eu_p38_unstim,0.21340648202510057,1.0
CD8Tcm_153Eu_STAT1_unstim,0.21340648202510057,1.0
intMCs_168Er_STAT6_unstim,0.21340648202510057,1.0
ncMCs_168Er_STAT6_unstim,0.21340648202510057,1.0
CD8Teff_151Eu_p38_unstim,0.21340648202510057,1.0
Bcells_168Er_STAT6_unstim,0.21340648202510057,1.0
CD8Teff_153Eu_STAT1_unstim,0.21340648202510057,1.0
intMCs_153Eu_STAT1_unstim,0.21340648202510057,1.0
CD4Tcm_151Eu_p38_unstim,0.21340648202510057,1.0
CD4Tcm_153Eu_STAT1_unstim,0.21340648202510057,1.0
CD4negCD8negTcells_153Eu_STAT1_unstim,0.21340648202510057,1.0
CD8Tnaive_151Eu_p38_unstim,0.21340648202510057,1.0
CD4negCD8negTcells_151Eu_p38_unstim,0.21340648202510057,1.0
CD4negCD8negTcells_153Eu_STAT1_IL246,0.21340648202510057,1.0
Tregs_153Eu_STAT1_unstim,0.21340648202510057,1.0
Granulocytes_168Er_STAT6_unstim,0.21340648202510057,1.0
CD8Tem_153Eu_STAT1_unstim,0.21340648202510057,1.0
CD8Tem_151Eu_p38_unstim,0.21340648202510057,1.0
MDSCs_153Eu_STAT1_unstim,0.21461741003420706,1.0
MDSCs_168Er_STAT6_unstim,0.21461741003420706,1.0
CD4Teff_149Sm_CREB_IL246,0.21486931548503985,1.0
mDCs_154Sm_STAT3_IFNa,0.21528832012636795,1.0
